id,answer
1,3
2,3
3,3
4,2
5,1
6,0
7,3
8,0
9,0
10,1
11,1
12,2
13,3
14,1
15,2
16,1
17,2
18,3
19,1
20,2
21,0
22,1
23,0
24,2
25,2
26,2
27,1
28,3
29,1
30,2
31,3
32,2
33,2
34,0
35,0
36,1
37,3
38,2
39,2
40,1
41,2
42,2
43,1
44,3
45,1
46,3
47,3
48,0
49,3
50,1
51,0
52,0
53,0
54,3
55,3
56,0
57,3
58,3
59,3
60,0
61,0
62,1
63,2
64,1
65,2
66,3
67,0
68,0
69,3
70,3
71,3
72,3
73,3
74,2
75,1
76,3
77,0
78,3
79,0
80,2
81,0
82,3
83,2
84,0
85,1
86,1
87,0
88,0
89,2
90,2
91,3
92,2
93,0
94,3
95,2
96,3
97,1
98,0
99,1
100,2
101,0
102,1
103,1
104,1
105,1
106,1
107,0
108,0
109,1
110,1
111,3
112,0
113,1
114,3
115,2
116,3
117,0
118,3
119,0
120,2
121,1
122,1
123,3
124,0
125,3
126,0
127,1
128,3
129,0
130,3
131,2
132,2
133,2
134,2
135,3
136,0
137,3
138,2
139,2
140,1
141,2
142,1
143,2
144,0
145,2
146,3
147,1
148,2
149,3
150,0
151,3
152,3
153,0
154,2
155,1
156,0
157,1
158,2
159,0
160,2
161,0
162,2
163,1
164,3
165,3
166,3
167,3
168,2
169,2
170,1
171,1
172,1
173,2
174,0
175,2
176,2
177,1
178,1
179,0
180,2
181,1
182,0
183,2
184,2
185,2
186,0
187,0
188,2
189,1
190,3
191,1
192,2
193,2
194,0
195,1
196,1
197,3
198,0
199,2
200,0
201,0
202,0
203,1
204,3
205,1
206,1
207,2
208,2
209,2
210,0
211,0
212,2
213,2
214,0
215,2
216,2
217,0
218,2
219,2
220,0
221,1
222,0
223,2
224,1
225,2
226,3
227,3
228,2
229,3
230,0
231,3
232,2
233,0
234,1
235,3
236,0
237,1
238,3
239,1
240,3
241,1
242,0
243,1
244,0
245,3
246,0
247,0
248,1
249,1
250,2
251,1
252,2
253,1
254,0
255,3
256,3
257,0
258,3
259,0
260,3
261,2
262,1
263,3
264,3
265,1
266,0
267,0
268,2
269,1
270,3
271,3
272,1
273,1
274,3
275,3
276,3
277,1
278,0
279,2
280,3
281,3
282,0
283,1
284,3
285,1
286,3
287,0
288,0
289,3
290,2
291,1
292,0
293,2
294,0
295,0
296,0
297,1
298,1
299,0
300,0
301,0
302,1
303,3
304,1
305,3
306,1
307,3
308,2
309,3
310,0
311,2
312,3
313,1
314,3
315,3
316,0
317,1
318,1
319,3
320,3
321,2
322,0
323,1
324,1
325,1
326,3
327,3
328,2
329,1
330,3
331,3
332,3
333,1
334,1
335,0
336,0
337,3
338,1
339,3
340,3
341,1
342,1
343,0
344,3
345,2
346,0
347,2
348,2
349,2
350,0
351,0
352,0
353,3
354,2
355,0
356,3
357,2
358,2
359,2
360,1
361,1
362,1
363,0
364,2
365,2
366,2
367,1
368,2
369,1
370,2
371,2
372,2
373,1
374,2
375,0
376,3
377,3
378,0
379,2
380,1
381,1
382,2
383,2
384,1
385,0
386,2
387,2
388,0
389,2
390,3
391,3
392,2
393,1
394,0
395,1
396,1
397,1
398,0
399,2
400,2
401,0
402,0
403,2
404,3
405,2
406,3
407,2
408,2
409,1
410,2
411,0
412,3
413,1
414,3
415,2
416,0
417,1
418,3
419,2
420,3
421,2
422,2
423,3
424,2
425,3
426,0
427,3
428,2
429,2
430,0
431,2
432,0
433,0
434,0
435,3
436,1
437,1
438,2
439,3
440,3
441,0
442,2
443,0
444,0
445,2
446,1
447,3
448,2
449,0
450,0
451,0
452,1
453,1
454,3
455,2
456,3
457,1
458,0
459,3
460,0
461,1
462,1
463,1
464,1
465,0
466,0
467,1
468,0
469,0
470,0
471,1
472,1
473,1
474,1
475,1
476,2
477,1
478,2
479,3
480,2
481,3
482,1
483,0
484,1
485,2
486,3
487,1
488,2
489,0
490,3
491,2
492,2
493,3
494,0
495,3
496,3
497,3
498,0
499,2
500,2
501,2
502,1
503,1
504,3
505,3
506,1
507,0
508,0
509,1
510,2
511,3
512,3
513,0
514,3
515,3
516,0
517,2
518,2
519,2
520,1
521,2
522,2
523,1
524,3
525,2
526,0
527,3
528,2
529,1
530,0
531,1
532,0
533,2
534,1
535,3
536,0
537,2
538,2
539,2
540,3
541,1
542,0
543,2
544,0
545,3
546,0
547,1
548,3
549,2
550,1
551,0
552,0
553,2
554,1
555,2
556,0
557,1
558,0
559,0
560,1
561,3
562,2
563,1
564,3
565,2
566,2
567,1
568,3
569,0
570,0
571,2
572,0
573,0
574,3
575,0
576,0
577,1
578,3
579,3
580,3
581,1
582,3
583,2
584,0
585,0
586,1
587,2
588,3
589,0
590,0
591,3
592,3
593,0
594,3
595,1
596,3
597,0
598,1
599,1
600,3
601,2
602,2
603,1
604,1
605,0
606,2
607,3
608,1
609,0
610,2
611,0
612,0
613,3
614,0
615,1
